FY,Operating City Funds Base ($M),Projected Agency Savings ($M),Savings % of Base,Benchmark %,Benchmark ($M),Gap ($M),FY_fy_start,Operating City Funds Base ($M)_orig,Projected Agency Savings ($M)_orig,Savings % of Base_orig,Benchmark %_orig,Benchmark ($M)_orig,Gap ($M)_orig
2026,65012000000,710000000,1.1,1.5,975000000,265000000,2025-07-01,"65,012",710,1.1%,1.5%,975,265
2027,65317000000,1060000000,1.6,2.5,1633000000,573000000,2026-07-01,"65,317","1,060",1.6%,2.5%,"1,633",573
